Indoor_Temperature,Outdoor_Temperature,Humidity,Occupancy,Weather_Condition,Time_of_Day,Sunlight_Intensity,Room_Size,Window_State,Ideal_Temperature
25.4,39.01,33.65,2,Rainy,Evening,4.5,10.6,Closed,22.51
31.9,31.12,42.46,2,Windy,Afternoon,5.9,23.4,Open,24.01
20.04,23.62,29.9,7,Windy,Night,0.9,47.6,Closed,24
10.939885485445132,29.52,24.37,2,Windy,Afternoon,2.9,17.2,Closed,22.99
18.1,30.19,55.89,1,Windy,Morning,4.9,19.5,Open,22.99
23.52,15.79,64.73,4,Stormy,Morning,5.7,22.3,Open,21
24.23,24.1,66.84,6,Cloudy,Afternoon,2,20.7,Open,22
24.73,22.02,50.9,4,Stormy,Morning,2.3,14.9,Closed,21
29.82,24.03,22.64,1,Stormy,Night,7.4,22.5,Closed,21
24.61,36.64,57.04,1,Rainy,Morning,8,31.6,Closed,20.51
25.63,26.89,,9,Windy,Morning,1.2,37,Open,25
22.04,42.91,53.49,1,Humid,Evening,9.9,35.7,Open,22
24.35,20.28,58.97,7,Windy,Evening,4.6,16.5,Closed,22
21.86,24.55,56.29,7,Cloudy,Night,6.1,34.6,Closed,22.01
19.24,37.54,67.59,1,Stormy,Morning,6.1,24.3,Closed,20
28.26,29.11,56.91,1,Cloudy,Evening,3.8,42.9,Closed,22
29.36,29.15,54.66,6,Stormy,Afternoon,5.7,24.5,Open,22
28.53,11.87,33.09,8,Stormy,Afternoon,6,49.1,Closed,22
25.88,23.95,66.24,7,Stormy,Morning,7.7,34.6,Closed,18.99
24.46,19.48,28.98,6,Humid,Night,6.8,27.2,Open,24
32.68,44.98,65.24,3,Windy,Morning,4.7,30.1,Closed,21
26.82,20.79,35.63,7,Stormy,Evening,2.3,17,Open,23.01
26.15,40.96,26.51,6,Rainy,Morning,0.7,37.2,Open,24.5
18.44,33.67,61.33,8,Stormy,Morning,6.7,48.5,Closed,20.01
23.8,21.93,20.12,4,Windy,Afternoon,5,30.6,Open,23.99
24.46,29.02,61.6,9,Windy,Afternoon,9.7,49.7,Closed,20
24.78,39.42,33.12,1,Humid,Evening,1.4,16,Closed,23.99
27.86,40.92,64.24,7,Stormy,Night,1.2,35.5,Closed,21
27.07,15.61,54.57,9,Rainy,Night,2.2,37.1,Open,22.51
28.33,21.89,53.31,1,Humid,Evening,4.1,22.5,Open,23.01
31,21.73,38.27,3,Humid,Evening,2.2,24.1,Closed,23.01
31.82,11.47,22.97,7,Stormy,Morning,4.9,47.8,Closed,21.99
30.21,30.94,61.5,9,Stormy,Morning,3.7,34.5,Closed,20
34.24,39.92,28.55,1,Humid,Night,10,41.3,Closed,22
18.31,23.36,38.61,6,Humid,Morning,9.7,39,Closed,21.99
21.33,35.9,50.02,2,Humid,Morning,4,34.4,Open,22.99
18.13,31.97,44.11,5,Cloudy,Afternoon,8,11.9,Open,23.01
29.01,23.15,29.93,7,Humid,Evening,2.8,36.5,Closed,23
33.27,14.94,27.03,7,Windy,Evening,1,23.8,Closed,24
22.14,34.83,26.16,7,Rainy,Afternoon,0.9,28.8,Open,24.5
33.76,39.91,63.15,4,Rainy,Afternoon,0.8,44.1,Open,22.5
19.02,34,21.58,6,Stormy,Morning,7.5,48.7,Open,22.01
33.89,10.63,68.85,6,Humid,Evening,3.8,37.8,Open,21.99
23.98,17.57,29.93,7,Rainy,Night,8.3,19.3,Open,22.5
19.72,12.43,25.52,9,Rainy,Evening,8.8,22.7,Open,22.5
26.26,29.96,48.85,6,Windy,Night,3.4,15.5,Open,23.99
22.37,36.48,24,1,Windy,Afternoon,3.2,33.2,Open,24
22.84,13.87,50.12,8,Cloudy,Evening,3.4,47.2,Open,23
23.22,39.34,62.53,2,Cloudy,Afternoon,5,42.4,Closed,21.01
31.65,29.44,22.39,3,Rainy,Evening,0.7,31.7,Open,24.5
27.17,34.15,59.99,5,Stormy,Night,0.6,47.7,Closed,22
23.29,44,39.72,6,Rainy,Afternoon,-6.050229132,45.9,Open,22.5
28.38,,27.97,7,Stormy,Morning,8.2,24.4,Open,22
30.17,41.54,28.8,4,Rainy,Evening,2.4,32,Open,23.49
22.63,14.41,65.94,3,Windy,Night,6.1,21.8,Closed,20.99
25.03,23.75,25.53,9,Humid,Morning,2.6,10.4,Open,23.99
20.07,39.8,63.34,4,Rainy,Afternoon,7.5,28,Closed,19.51
21.08,41.72,47.21,9,Cloudy,Evening,4.5,40,Open,23.99
29.58,27.72,21.95,9,Stormy,Evening,8.3,35.4,Open,22
21.08,30.79,43.22,3,Stormy,Morning,9.5,47.1,Closed,20.99
26.93,34.79,60.87,3,Rainy,Morning,5.8,37.4,Open,21.5
30.05,39.15,56.31,8,Stormy,Afternoon,9.1,15.7,Closed,20
19.82,14.25,44.44,1,Cloudy,Morning,0.8,20.7,Open,24.99
27.64,38.35,63,6,Windy,Evening,4.9,15,Closed,21.01
22.36,26.84,26.02,6,Humid,Evening,5.3,41.8,Open,24
34.37,25.77,65.5,9,Humid,Evening,4.5,48,Open,21.99
26.22,24.84,62.32,2,Stormy,Evening,3.5,19.1,Closed,20
31.7,27.82,55.41,8,Rainy,Morning,7.4,40.6,Closed,20.49
27.35,43.08,60.89,7,Stormy,Morning,5.8,27.5,Closed,20.01
18.74,29.19,47.19,2,Cloudy,Night,1.3,24.2,Open,25
28.76,43.36,53.76,1,Rainy,Afternoon,9.5,49.5,Open,21.49
34.17,16.31,48.03,4,Windy,Morning,8.9,23.8,Closed,21.99
28.23,35.34,37.77,2,Cloudy,Afternoon,3.9,36.4,Closed,22.99
31.93,38.43,48.44,3,Windy,Morning,2.8,38.5,Open,23.99
33.03,33.77,32.87,2,Rainy,Night,6.5,40.9,Open,23.49
21.88,31.24,42.01,9,Windy,Morning,0.9,44.5,Closed,24
21.6,29.77,34.04,4,Cloudy,Evening,5.2,32.6,Closed,23.01
28.39,40.13,26.14,1,Cloudy,Morning,6.9,34.2,Open,24
24.99,38.76,36.09,8,Stormy,Afternoon,4.4,38.4,Open,23
32.28,14.28,62.6,4,Rainy,Evening,9.7,16,Closed,19.49
33.3,39.7,39.05,8,Humid,Morning,7.3,18,Closed,21.99
24.01,24.49,57.4,8,Humid,Evening,9.4,40.6,Open,22.01
22.03,18.88,28.76,9,Windy,Evening,9.1,15.4,Closed,22
31.27,40.44,41.22,7,Humid,Evening,1.8,37.5,Open,25
22.67,25.12,25.74,4,Humid,Night,6.9,11.3,Closed,23.01
31.98,38.29,26.93,2,Cloudy,Afternoon,6.2,23.5,Open,23.99
25.2,19.22,50.87,6,Cloudy,Afternoon,1,36.5,Closed,23
29.35,10.14,50.37,4,Cloudy,Morning,3.5,38.3,Open,23
19.62,27.34,30.67,6,Humid,Evening,5.6,35.2,Closed,23
28.61,13.51,43.72,8,Windy,Morning,5.7,27.7,Open,23.99
25.68,36.4,63.17,3,Rainy,Afternoon,8.2,20.2,Open,20.51
27.97,19.66,28.71,1,Stormy,Evening,6.1,34.5,Closed,21.99
20.86,25.53,20.96,5,Windy,Afternoon,4.9,17.4,Open,23.99
30.53,13.05,52.6,3,Cloudy,Evening,7.6,12.4,Open,22
32.67,20.03,22.67,6,Windy,Evening,5.9,10.8,Closed,23.01
21.68,37.35,69,3,Rainy,Night,8.9,20.7,Closed,19.49
19.63,15.31,50.48,1,Cloudy,Evening,9.1,11.2,Open,22
18.4,32.65,43.52,9,Rainy,Morning,6.2,20,Closed,22.49
28.91,42.11,41.5,5,Stormy,Afternoon,5.9,21.6,Closed,22.01
28.32,33.79,48.65,2,Windy,Afternoon,7.2,23.8,Open,23
27.29,38.39,24.53,2,Stormy,Afternoon,7.4,38.5,Closed,21
21.94,13.81,66.5,9,Humid,Evening,7.4,27.7,Open,21
24.65,18.78,51.28,1,Windy,Morning,6.4,49.4,Open,23.01
28.11,41.31,29.2,3,Humid,Night,7.7,47.9,Open,22.99
26.45,35.03,48.13,7,Rainy,Night,1.9,49.3,Open,24.51
34.79,32.38,26.66,1,Humid,Morning,8.3,26.5,Closed,22
20.32,33.23,20.88,2,Rainy,Morning,3.4,11.8,Open,23.5
29.82,24.5,51.53,6,Stormy,Morning,8.9,44.4,Open,21.01
24.87,11.56,52.42,9,Cloudy,Evening,1.8,27.4,Open,24
25.28,37.46,49.18,9,Stormy,Evening,0.5,35.6,Open,24.01
30.2,33.75,29.17,8,Humid,Night,0.6,43.7,Closed,24
29.77,26.55,50.17,3,Rainy,Morning,2.5,34.3,Closed,21.5
34.85,41.49,22.83,2,Humid,Morning,1.6,39.5,Open,25.01
20.18,21.77,50.46,1,Cloudy,Afternoon,5.8,19.9,Closed,21.99
19.77,20.3,47.7,9,Windy,Night,4.8,17.8,Closed,23
30.31,40.55,52.76,5,Windy,Evening,6.3,32.2,Closed,21.99
27.83,37.89,64.77,3,Windy,Morning,2.3,35.5,Open,21.99
22.66,28.02,62.52,5,Humid,Evening,7.7,44.9,Closed,19.99
19.35,14.58,69.03,3,Windy,Afternoon,6.3,42.9,Open,22.01
19.46,17.53,68.81,9,Rainy,Morning,2.6,49.6,Closed,20.5
33.2,32.97,58.62,1,Cloudy,Evening,4.3,48.7,Open,23
21.26,23.48,67.82,1,Stormy,Evening,7.3,34.9,Closed,19
23.5,39.28,63.36,3,Rainy,Night,7,30.1,Closed,20.51
21.85,43.25,56.38,6,Cloudy,Evening,5.8,40.4,Closed,22
24.03,38.2,23.77,2,Stormy,Evening,9.8,20.5,Open,21.99
19.18,23.21,22.45,1,Windy,Evening,1.8,24.1,Open,25.01
26.82,37.6,61.88,8,Stormy,Evening,5.1,40.7,Closed,20
19.15,22.3,44.48,9,Humid,Afternoon,6.4,48,Open,23.99
31.61,15.85,60.73,1,Humid,Evening,9.9,45.8,Open,21
21.97,11.17,35.65,3,Windy,Night,5.7,12.9,Open,24
27.18,23.5,39.88,5,Windy,Afternoon,4.7,19.3,Closed,22.99
32.96,41.62,55.01,7,Rainy,Afternoon,9.3,20.9,Open,21.5
29.06,18.36,65.77,4,Rainy,Evening,5.3,25.3,Open,21.5
27.06,17.23,24.39,6,Humid,Morning,9.4,12.8,Closed,22.01
23.51,43.94,63.07,1,Cloudy,Evening,7.6,19.2,Open,21
23.66,10.88,59.65,4,Rainy,Afternoon,2.1,38.6,Open,22.5
29.38,37.5,35.78,8,Cloudy,Evening,2.1,19.8,Open,24
34.9,21.25,37.76,5,Humid,Night,3.5,47.7,Closed,23
29.25,11.31,22.32,8,Rainy,Night,1.1,26.9,Closed,23.5
27.48,42.12,20.79,1,Cloudy,Night,5.7,14,Open,24
30.42,14.89,43.85,9,Cloudy,Evening,8.7,43.7,Open,23
25.91,29.31,24.78,4,Rainy,Evening,4.3,46.6,Closed,22.49
19.02,19.59,29.7,9,Windy,Afternoon,6.7,47.1,Closed,23.01
27.56,12.28,62.34,8,Stormy,Afternoon,9.8,29.8,Closed,19
34.28,11.75,48.55,8,Windy,Afternoon,2.3,46.8,Closed,23
20.98,14.04,51.68,2,Stormy,Morning,3.9,38.4,Closed,20.99
29.73,12.5,29.37,3,Cloudy,Night,0.7,17.8,Open,24.99
21.42,36.62,61.43,9,Rainy,Morning,2.7,31.3,Closed,20.5
27.11,26.99,63.4,3,Humid,Morning,7.9,27.3,Open,21.01
19.64,22,46.17,8,Rainy,Night,6.7,28,Open,23.49
25.66,24.64,65.63,5,Windy,Morning,7.9,26.5,Closed,20
30.85,42.51,62.24,7,Stormy,Evening,4.5,17,Open,21
23.91,41.88,56.57,4,Rainy,Night,7.5,25.6,Closed,20.49
29.3,35.05,56.7,8,Stormy,Morning,6.2,30.5,Closed,21
31.52,40.96,25.27,4,Windy,Morning,3.6,21.4,Closed,23
33.76,21.19,33.54,5,Windy,Morning,4.4,17.1,Open,24
21.99,23.34,23.34,1,Rainy,Evening,5.6,17.9,Open,23.49
24.79,31.48,20.43,8,Humid,Morning,9.6,17.7,Closed,22.01
20.59,31.83,27.92,7,Humid,Morning,9.3,27.9,Open,23
34.87,26.86,64.02,5,Stormy,Morning,9.9,18.4,Open,20
33.76,24.02,31.99,6,Rainy,Afternoon,0.7,38.7,Open,24.5
27.18,44.52,68.51,1,Cloudy,Night,7.3,23.4,Open,21
32.31,38.74,49.86,8,Windy,Morning,9,47.6,Closed,22.01
26.86,25.22,31.86,9,Stormy,Morning,7.5,12.5,Closed,21
28.6,35.46,44.86,5,Windy,Night,4.5,22.4,Closed,23
19.52,19.43,30.95,7,Stormy,Morning,7.4,39.5,Closed,20.99
30.84,13.51,69.2,4,Rainy,Evening,4.7,37.4,Open,21.5
20.17,22.34,62.36,6,Stormy,Morning,7.3,26.8,Closed,19
32.04,24.1,21.31,2,Stormy,Morning,7.9,44.8,Open,22
31.29,10.58,67.39,4,Cloudy,Afternoon,8.5,12.9,Open,21.01
30.05,38.52,56.05,5,Stormy,Afternoon,7.4,30.4,Open,20.99
18.61,22.57,24.12,9,Humid,Evening,2,18,Closed,23
23.15,30.31,53.53,9,Stormy,Night,9.4,25,Open,21
22.47,12.59,52.35,8,Stormy,Evening,2.5,38,Closed,21.01
24.12,16.12,30.94,4,Rainy,Night,3.9,14,Closed,22.51
19.49,41.14,57.92,6,Stormy,Morning,4.6,11.8,Open,22
33.93,31.3,24.35,7,Cloudy,Afternoon,7.3,26.8,Open,22.99
27.41,43.26,44.47,1,Rainy,Evening,7.2,20.9,Open,22.51
23.19,44.96,20.5,1,Windy,Evening,9.6,38.8,Closed,22
24.75,23.02,68.44,4,Humid,Afternoon,2.3,12.6,Open,22.01
25.6,20.46,57.58,3,Humid,Night,4.8,48.7,Open,23.01
28.21,40.04,27.94,4,Windy,Morning,2.4,34.8,Open,24
26.77,44.95,37.08,9,Stormy,Night,6.9,30.1,Closed,22.01
33.63,32.04,28.03,2,Cloudy,Afternoon,2.5,26.5,Closed,22.99
26.45,37.83,58.33,4,Cloudy,Morning,8.7,40,Open,22.01
34.87,37.36,22.94,7,Cloudy,Night,9.8,24.3,Closed,22.01
32.47,22.44,62.02,2,Cloudy,Morning,3.5,41.1,Closed,21.01
21.54,30.1,67.11,8,Stormy,Afternoon,7.5,38.4,Open,20.01
33.82,39.16,53.83,4,Windy,Morning,5.6,32.1,Open,22.99
19.98,34.08,30.65,9,Windy,Evening,3.9,45.5,Open,24.01
31.9,10.74,38,1,Humid,Afternoon,2.3,23.8,Open,24
24.47,21.78,43.86,7,Windy,Evening,7.3,12.3,Closed,22
32.93,15.06,50.23,1,Cloudy,Morning,2,25,Closed,21.99
32.76,18.15,53.43,9,Stormy,Night,3.2,45,Closed,21
31.7,41.69,47.71,1,Rainy,Morning,9.2,13.1,Closed,21.5
31.43,11.29,37.57,3,Rainy,Afternoon,5.3,40.5,Open,23.5
23.18,17.69,64.55,7,Cloudy,Afternoon,8.6,43,Closed,20
19.38,20.83,24.07,1,Humid,Morning,7.8,27.1,Closed,22
24.85,31.59,43.31,5,Rainy,Night,4.1,17.8,Closed,22.49
20.95,28.69,58.78,6,Cloudy,Afternoon,2.6,24.2,Closed,22.01
29.81,17.64,23.04,3,Stormy,Morning,1.4,25.9,Open,24
23.88,15.75,55.27,6,Rainy,Night,9.6,47.3,Open,21.51
34.59,18.29,60.99,4,Cloudy,Evening,3.6,21.4,Open,21.99
28.9,27.59,53.04,6,Rainy,Afternoon,6.9,48.9,Open,22.51
31.98,19.49,20.65,6,Stormy,Evening,7.4,14.4,Closed,20.99
20.25,43.17,29.01,4,Windy,Afternoon,2.4,49,Open,24.01
32.65,26.24,37.11,1,Windy,Evening,7.1,18.9,Closed,22.01
33.69,12.06,31.68,3,Stormy,Morning,0.6,16.7,Closed,22.99
26.28,35.52,68.13,7,Stormy,Night,4.5,14.8,Open,21.01
28.31,21.51,52.58,2,Windy,Morning,3.8,22.7,Closed,22
31,32.87,34.85,4,Stormy,Morning,9.4,34.7,Open,22
20.97,19.79,66.48,6,Stormy,Morning,9.9,36.7,Open,20.01
26.54,29.98,57.03,5,Stormy,Afternoon,3.2,24.8,Open,22.01
24.78,37.03,34.23,6,Windy,Evening,6.3,19.2,Closed,23.01
20.49,42.48,38.94,5,Windy,Afternoon,7.6,49.8,Closed,22
24.25,19.14,29.97,9,Rainy,Afternoon,2.3,20.8,Open,23.5
19.16,21.72,68.55,2,Windy,Night,7,25.1,Closed,21
18.44,26.25,45.86,4,Rainy,Morning,2.9,29.2,Closed,22.49
20.3,42.45,64.8,1,Windy,Afternoon,2.1,39.6,Closed,20.99
34.37,41.55,37.32,7,Humid,Evening,8.6,16.1,Closed,22
27.34,13.15,63.04,1,Rainy,Afternoon,5.3,20.6,Closed,20.51
34.42,14.62,22.69,6,Stormy,Night,3.3,49.9,Closed,22.01
25.35,27.34,69.1,9,Humid,Night,4.3,43,Open,22
23.3,13.73,65.6,2,Windy,Evening,4.4,27.8,Open,21.99
26.6,22.1,38.16,1,Windy,Night,7.8,14.3,Closed,22
25.47,15.19,58.74,3,Humid,Morning,8.9,44.7,Open,22
19.8,32.26,57.61,6,Cloudy,Morning,5,41.3,Open,23
28.89,43.23,65.06,7,Stormy,Night,3.6,33.2,Open,20.99
21.67,44.89,35.36,8,Rainy,Afternoon,7.4,26.2,Closed,21.49
28.53,23.13,43.28,4,Humid,Night,9.1,47.4,Closed,22
29.05,30.97,63.25,8,Rainy,Evening,1.6,21.8,Open,22.5
20.58,39.97,58.93,7,Windy,Morning,8.1,22.8,Closed,20.99
19.04,14.11,39.67,8,Cloudy,Morning,5.8,45,Open,24
31.27,34.13,62.29,5,Cloudy,Afternoon,8.7,35.1,Closed,20.01
25.82,24.31,22.35,7,Rainy,Evening,5.4,48,Closed,22.5
18.99,17.22,59.1,4,Windy,Morning,8.7,35.8,Open,22
34.91,24.1,30.34,1,Cloudy,Morning,5.8,11.3,Open,24
18.98,12.66,34.31,3,Stormy,Evening,1.9,17.1,Open,24
29.82,34.34,44.66,9,Windy,Afternoon,0.5,21.3,Closed,23.99
34.72,18.85,42.49,4,Humid,Night,6.4,44.7,Closed,23
22.07,20.9,46.03,5,Humid,Afternoon,6.1,43.2,Open,24.01
20.42,14.24,47.24,3,Humid,Morning,2.5,41.6,Open,24.01
20.06,40.26,36.58,6,Stormy,Morning,8.6,32.1,Open,22.01
23.16,27.27,28.76,4,Windy,Afternoon,8.7,15.6,Open,23
19.72,30.03,58.42,5,,Afternoon,8.1,15.2,Open,21.5
29.77,29.93,40,7,Rainy,Morning,9.4,15,Open,22.51
19.06,24.37,45.29,7,Windy,Evening,5.3,44.2,Open,24
26.66,16.74,52.23,9,Stormy,Evening,7.2,15.7,Closed,20
34.94,36.08,65.48,2,Windy,Night,9.1,42.3,Closed,20.01
31.84,14.45,55.38,4,Rainy,Morning,4.8,43.8,Closed,21.51
28.46,13.64,22.27,8,Windy,Morning,6.4,14.2,Closed,23.01
23.21,34.86,61.93,4,Humid,Night,5.4,46.1,Closed,21.01
28.61,17.31,69.47,3,Windy,Morning,9.8,45.9,Closed,20
26.96,20.74,43.62,6,Cloudy,Morning,4.7,35.5,Closed,23
25.24,26.63,68.48,3,Windy,Afternoon,3.5,30.5,Closed,21
20.22,25.73,47.37,2,Rainy,Evening,6.5,35.9,Closed,22.49
33.07,34.8,42.98,9,Rainy,Evening,3.2,26.2,Closed,22.51
25.65,31.82,36.57,3,Rainy,Evening,8.6,33.5,Closed,21.5
21.31,32.55,52.88,1,Humid,Night,9,48.8,Closed,21.01
24.25,34.99,31.49,9,Rainy,Afternoon,3.8,14.5,Open,23.5
25.04,20.24,25.25,5,Cloudy,Morning,3.9,19.4,Open,24.01
32.07,21.28,21.36,7,Windy,Evening,1.3,31,Open,25
30.47,25.33,34.62,2,Stormy,Evening,2.9,20.3,Open,22.99
31.08,20.76,39.79,1,Rainy,Afternoon,1.1,49.7,Open,24.51
18.19,44.47,47.6,6,Windy,Morning,7.7,38.8,Open,23.01
25.07,38.49,34.64,5,Humid,Night,2.2,27.4,Closed,23.01
26.18,15.76,69.2,6,Windy,Morning,1.2,46.1,Closed,21.99
18.33,10.2,34.59,2,Rainy,Night,2.1,15.8,Open,23.5
22.42,11.5,42.05,7,Rainy,Night,4.1,21.5,Open,23.5
30.92,18.54,25.16,1,Rainy,Morning,4.5,48.2,Open,23.5
20.33,14,33.03,8,Cloudy,Night,9,32.3,Open,23
27.1,28.67,22.42,7,Windy,Evening,3.2,46.8,Open,23.99
21.66,40.03,47.98,7,Stormy,Afternoon,7.3,49.4,Closed,21
18.21,35.79,57.55,6,Cloudy,Evening,9,24.4,Open,21.99
22.1,17.55,29.79,5,Stormy,Night,8.6,33.1,Open,21.99
34.59,23.98,38.4,9,Rainy,Night,2.4,43.9,Closed,22.49
31.63,27.78,20.83,3,Stormy,Afternoon,3.2,20.9,Open,23
34.31,38.36,61.98,9,Stormy,Afternoon,1,27.9,Open,22.01
26.29,39.37,59,5,Cloudy,Evening,5.1,16.1,Open,23.01
19.87,41.84,23.16,8,Cloudy,Afternoon,4.4,36.1,Closed,23
27.32,27.82,38.24,3,Windy,Afternoon,5.7,10.2,Open,24
25.72,34.3,67.76,7,Stormy,Night,4.8,28,Open,20.99
32.35,13.91,39.6,4,Cloudy,Afternoon,7.5,47.2,Closed,21.99
19.67,29.79,46.31,5,Windy,Night,6.9,45.9,Closed,23
26.3,18.7,37.76,4,Stormy,Morning,4.6,42.2,Open,23
20.55,25.11,49.81,9,Stormy,Morning,0.9,15.6,Closed,23.01
23.52,32.19,68.91,7,Rainy,Morning,3.8,30.8,Closed,20.5
30.54,18.99,69.88,6,Cloudy,Night,3.6,38.8,Closed,21.01
26.09,11.83,58.74,6,Humid,Morning,1.3,14,Closed,23
24.39,10.36,40.22,7,Cloudy,Evening,3.4,15.9,Closed,23
24.71,10.78,44.72,5,Rainy,Night,9.9,11.6,Open,22.5
25.81,10.29,37.84,3,Windy,Evening,8.3,22.9,Open,23
31.35,13.86,69.28,3,Cloudy,Night,8.1,45.1,Open,20.99
33.17,18.38,55.39,7,Stormy,Evening,8.5,30.3,Closed,20
34.24,17.74,42.45,1,Humid,Morning,8.7,44.1,Open,23.01
31.38,44.54,20.61,4,Windy,Evening,3.6,13.3,Open,23.99
23.36,20.71,46.02,8,Cloudy,Morning,3.6,12.2,Open,24.01
29.7,14.46,69.2,4,Windy,Night,3.7,42.2,Open,22.01
25.44,29.09,46.15,1,Stormy,Morning,8.3,29.9,Closed,21
22.33,40.03,29.12,5,Humid,Afternoon,8.1,28.8,Open,23.01
32.29,33.73,21.1,1,Stormy,Afternoon,0.7,29,Open,23.99
18.65,20.36,37.74,9,Humid,Morning,9.5,25.2,Open,23
33.33,29.66,65.91,8,Windy,Afternoon,3.2,45.5,Open,22
25.85,35.02,69.83,7,Cloudy,Afternoon,6.4,30.8,Open,21.99
28.83,35.48,67.27,5,Humid,Afternoon,6.6,49,Closed,21
29.21,33.33,56.47,4,Stormy,Afternoon,1.6,43.9,Closed,22
33.22,40.48,47.91,7,Humid,Evening,7.1,39.5,Open,23
28.82,40.45,49.53,3,Windy,Afternoon,5.6,35.4,Closed,23
28.44,30.26,46.95,8,Windy,Night,6.3,43.4,Open,24.01
19.13,25.04,55.35,5,Windy,Morning,4.7,45.3,Open,23
26.81,32.45,40.94,5,Cloudy,Night,8.1,15.3,Closed,22
20.55,38.64,53.46,1,Windy,Afternoon,6.5,24.4,Open,23.01
30.54,10.2,26.08,8,Cloudy,Night,2.3,42.2,Open,24.01
26.71,44.72,33.28,7,Rainy,Afternoon,7.7,18.9,Open,22.5
29.56,16.4,61.8,1,Humid,Evening,5.3,33.4,Closed,21
18.71,26.46,65.19,4,Stormy,Evening,0.9,41.2,Open,22.01
19.44,40.52,46.95,4,Cloudy,Evening,4.3,19,Open,23.99
30.18,17.88,21.58,9,Cloudy,Afternoon,4.3,26.1,Open,23.99
19.23,26.69,66.35,2,Stormy,Morning,8.1,46.6,Open,19.99
19.21,14.64,55.1,4,Humid,Evening,2.7,24.2,Open,23
18.21,23.83,40.7,3,Windy,Afternoon,4.8,34.2,Open,24.01
34.26,16.2,49.92,5,Humid,Afternoon,1,27.4,Open,24.99
30.54,22.73,41.49,7,Cloudy,Night,8.9,45.1,Open,22.99
24.01,23.07,43.27,5,Windy,Afternoon,4.7,27,Open,24.01
23.04,44.76,64.34,5,Rainy,Night,8.6,24.4,Closed,19.5
23.94,44.82,28.05,4,Stormy,Evening,6.9,16.9,Open,23
31.17,14.02,25.18,9,Humid,Night,3.5,24,Open,24
29.24,35.41,20.14,6,Windy,Afternoon,7.3,36.8,Closed,22.01
21.15,11.81,35.7,6,Stormy,Night,5,17,Closed,21.99
20.96,11.06,27.37,6,Humid,Evening,3.7,38.2,Open,24
19.67,13.69,31,6,Cloudy,Afternoon,6.8,10.4,Closed,22.99
29.23,43.79,20.56,1,Cloudy,Morning,7.9,24.7,Open,23
30.99,42.93,31.36,6,Cloudy,Morning,7,28.6,Closed,23
22.51,16.79,36.64,4,Rainy,Afternoon,4.9,13.8,Closed,22.5
18.36,15.66,21.58,2,Cloudy,Evening,3,37.4,Open,24
19.4,18.42,50.4,6,Cloudy,Afternoon,8.2,14.1,Open,22
34.45,28.04,48.44,1,Cloudy,Morning,3.8,13.6,Closed,23.01
23.02,29.94,24.85,1,Windy,Afternoon,6.3,24.7,Open,24.01
31.08,17.76,49.75,5,Stormy,Night,1.6,39.5,Open,24
28.62,36.48,69.93,6,Rainy,Night,7.5,48.5,Closed,19.51
24.49,20.83,67.22,2,Humid,Evening,9.6,41,Open,21
21.5,42.27,20.13,8,Rainy,Evening,4.8,28.6,Closed,22.51
20.06,32.99,59.77,4,Stormy,Evening,5.7,20.9,Open,22
28.46,25.27,37.68,4,Cloudy,Evening,9,22.1,Open,23
31.17,37.65,23.18,5,Cloudy,Night,8.1,21.3,Open,22.99
28.95,38.63,34.8,4,Humid,Morning,9.6,21.1,Open,23.01
27.02,20.17,36.09,5,Rainy,Evening,3,12.8,Closed,22.5
18.71,21.89,46.16,3,Rainy,Evening,5,18.8,Open,23.51
34.46,42.76,53.05,8,Humid,Morning,4.8,14.3,Open,23
31.58,15.77,57.45,6,Rainy,Evening,5,10.3,Closed,21.49
22.98,11.48,32.3,8,Rainy,Morning,9.2,21.4,Closed,21.5
34.66,25.89,36.09,5,Rainy,Evening,2.5,24.1,Open,23.5
28.23,38.04,35.42,7,Humid,Evening,9,47.1,Open,22.99
27.9,37.01,38.14,7,Humid,Evening,5.9,49.8,Open,23.99
30.72,42.18,69.98,6,Stormy,Night,5.6,33.2,Open,20.99
31.8,28.66,58.9,4,Rainy,Night,4.5,46,Open,22.49
29.16,13.5,68.75,6,Stormy,Night,5.6,34.7,Open,21
20.18,30.6,54.66,9,Windy,Evening,8.1,29.9,Open,22.01
23.75,37.24,40.31,4,Windy,Night,5.2,11.7,Closed,23
33.78,13.27,39.49,6,Rainy,Night,7.9,11.8,Closed,21.51
21.82,16.04,44.43,6,Cloudy,Night,4.5,11.2,Closed,23
24.33,10.43,40.84,3,Windy,Afternoon,2.2,16,Closed,23.01
25.35,30.78,61.42,4,Cloudy,Night,4.4,13.1,Closed,20.99
25.47,41.04,43.25,3,Stormy,Afternoon,7.4,17.8,Open,22
28.42,33.47,34.78,3,Rainy,Night,8.6,30.8,Closed,21.5
34.03,44.37,58.74,4,Stormy,Evening,7.8,30.1,Closed,19.99
22.09,12.21,62.72,4,Stormy,Evening,4.1,23.8,Closed,19.99
20.07,41.61,41.02,6,Humid,Evening,6,36.6,Open,24
21.36,38.49,53.39,4,Rainy,Afternoon,3.9,25.7,Open,22.51
33.08,21,22.94,6,Humid,Evening,7.2,18.8,Open,23.01
28.98,44.07,46.47,2,Stormy,Morning,4.6,37.7,Closed,22
22.86,20.08,22.25,4,Cloudy,Night,7.8,49.2,Open,23
31.87,41.13,21.46,2,Rainy,Afternoon,0.6,42.4,Open,24.49
